,gene_name,gene_category
chr15:63951520:63951748:-@chr15:63942468:63942638:-@chr15:63933965:63934034:-,ASAP1,
chr16:20608815:20608962:-@chr16:20608559:20608719:-@chr16:20607837:20607957:-,ALG3,
chr16:97677829:97677966:-@chr16:97677096:97677250:-@chr16:97676697:97676835:-,MX1,LPS Response
chr18:74434997:74435071:+@chr18:74435558:74435725:+@chr18:74436061:74436369:+,MBD1,
chr2:131347247:131347955:+@chr2:131349980:131350069:+@chr2:131350479:131351659:+,SMOX,
chr2:149945561:149945687:-@chr2:149945301:149945364:-@chr2:149940142:149943936:-,ZFP120,
chr2:165137123:165137304:-@chr2:165135675:165135774:-@chr2:165134409:165134564:-,ELMO2,
chr2:84567320:84567462:-@chr2:84565686:84566313:-@chr2:84563163:84564374:-,CLP1,
chr3:103612823:103613368:-@chr3:103611995:103612160:-@chr3:103607839:103611499:-,GM15471,
chr3:10420740:10420876:-@chr3:10420197:10420316:-@chr3:10417817:10419223:-,SNX16,
chr3:33963025:33963241:+@chr3:33967083:33967174:+@chr3:33967839:33974920:+,FXR1,
chr4:57867031:57869909:+@chr4:57895896:57896074:+@chr4:57905741:57911400:+,AKAP2,
chr5:109014360:109014553:-@chr5:109013251:109013397:-@chr5:109011689:109012168:-,GAK,
chr6:115560537:115560718:+@chr6:115561653:115561957:+@chr6:115563345:115563559:+,MKRN2,
chr6:131243090:131243264:-@chr6:131239407:131239465:-@chr6:131238054:131238164:-,MAGOHB,
chr6:146499161:146499296:-@chr6:146498609:146498686:-@chr6:146498154:146498507:-,4933424B01RIK,
chr13:76862929:76863040:+@chr13:76871032:76871070:+@chr13:76880555:76880614:+@chr13:76896247:76896417:+,MCTP1,
chr14:57430429:57430729:-@chr14:57429577:57429696:-@chr14:57423188:57423700:-,ZMYM5,
chr14:60847546:60847747:-@chr14:60842154:60842252:-@chr14:60836913:60840515:-,NUPL1,
chr16:4932200:4932298:+@chr16:4934195:4934239:+@chr16:4936896:4939293:+,NUDT16L1,
chr16:87699170:87699301:+@chr16:87715576:87715869:+@chr16:87719052:87720395:+,BACH1,
chr17:8365793:8365873:+@chr17:8368384:8368443:+@chr17:8375093:8375319:+,FGFR1OP,
chr19:60296957:60297207:-@chr19:60296393:60296480:-@chr19:60296233:60296263:-,D19ERTD737E,
chr6:17498686:17498839:+@chr6:17499032:17499172:+@chr6:17503239:17503469:+,MET,LPS Response
chr6:48790995:48791374:-@chr6:48790360:48790447:-@chr6:48788171:48788364:-,TMEM176B,
chr6:48790995:48791374:-@chr6:48790360:48790452:-@chr6:48788171:48788364:-,TMEM176B,
chrX:11633470:11636368:-@chrX:11632765:11632818:-@chrX:11632095:11632281:-,BCOR,
chr13:3567998:3568103:-@chr13:3566682:3566863:-@chr13:3565596:3566278:-,BC016423,LPS Response
chr14:27237599:27237733:-@chr14:27235689:27235778:-@chr14:27232654:27234474:-,SLMAP,
chr15:82944730:82944869:+@chr15:82945997:82946093:+@chr15:82946687:82947401:+,RRP7A,
chr17:35565212:35565327:+@chr17:35565505:35565537:+@chr17:35565945:35567000:+,H2-Q6,
chr2:165617405:165617471:-@chr2:165612664:165612743:-@chr2:165609652:165611238:-,ZMYND8,
chr2:165617405:165617471:-@chr2:165612664:165612747:-@chr2:165609652:165611238:-,ZMYND8,
chr2:172252136:172253425:+@chr2:172255142:172255219:+@chr2:172257733:172259257:+,CASS4,
chr2:59800078:59800687:-@chr2:59797878:59798162:-@chr2:59796489:59796549:-,BAZ2B,
chr3:115590694:115591022:-@chr3:115589132:115589298:-@chr3:115584498:115584756:-,A930005H10RIK,
chr3:30849798:30849953:-@chr3:30847624:30847722:-@chr3:30841331:30841574:-,PHC3,
chr5:122261394:122261621:+@chr5:122263394:122263562:+@chr5:122264347:122264960:+,ATXN2,
chr5:130284898:130285320:-@chr5:130282706:130282817:-@chr5:130277296:130277508:-,PSPH,
chr5:30574946:30575066:+@chr5:30579256:30579330:+@chr5:30582624:30582886:+,EPT1,
chr7:29786920:29787009:+@chr7:29787367:29787422:+@chr7:29788116:29788298:+,MAP4K1,
chrX:103124439:103124736:-@chrX:103106809:103106993:-@chrX:103095220:103095332:-,ATRX,
chr11:59585119:59585204:+@chr11:59585654:59585719:+@chr11:59589018:59595260:+,MPRIP,
chr11:70049526:70049713:-@chr11:70049198:70049302:-@chr11:70048708:70048970:-,0610010K14RIK,
chr15:89414341:89414974:-@chr15:89414030:89414113:-@chr15:89412958:89413861:-,RABL2,
chr16:49867878:49868225:+@chr16:49869131:49869193:+@chr16:49884278:49884367:+,CD47,LPS Response
chr17:26819623:26819670:+@chr17:26831424:26831526:+@chr17:26832300:26834993:+,ATP6V0E,
chr18:60988019:60988213:-@chr18:60986994:60987101:-@chr18:60982458:60982644:-,TCOF1,
chr2:155929085:155929165:-@chr2:155922154:155924108:-@chr2:155904837:155905200:-,CPNE1,
chr5:145994310:145994471:+@chr5:145996175:145996260:+@chr5:145996606:145996732:+,ZFP655,
chr6:112594582:112594741:-@chr6:112578456:112578518:-@chr6:112569025:112570898:-,RAD18,
chr6:146538416:146538558:+@chr6:146541156:146541269:+@chr6:146543698:146543811:+,FGFR1OP2,
chr9:14609800:14609971:+@chr9:14614248:14614328:+@chr9:14616274:14616400:+,MRE11A,
chr11:96664042:96664136:+@chr11:96667930:96668078:+@chr11:96669498:96669957:+,CBX1,
chr7:105743262:105743822:-@chr7:105741841:105742176:-@chr7:105736902:105739394:-,2210018M11RIK,
chr7:105743262:105743822:-@chr7:105741841:105742320:-@chr7:105736902:105739394:-,2210018M11RIK,
chr14:56518021:56518142:-@chr14:56517080:56517314:-@chr14:56516113:56516849:-,SDR39U1,
chr16:36885074:36885274:+@chr16:36886217:36886314:+@chr16:36887325:36887489:+,GOLGB1,
chr2:71687438:71687563:+@chr2:71691591:71691720:+@chr2:71693911:71696539:+,ITGA6,
chr5:22984671:22984801:+@chr5:22987027:22987144:+@chr5:22988220:22988329:+,MLL5,
chr9:114264941:114265110:-@chr9:114258848:114259052:-@chr9:114250229:114250551:-,4930525D18RIK,
chr1:88656863:88656964:+@chr1:88709087:88709164:+@chr1:88717797:88718025:+,DIS3L2,
chr19:35044410:35044607:+@chr19:35046887:35046988:+@chr19:35047349:35047499:+,KIF20B,
chr2:181117192:181117408:+@chr2:181117504:181117865:+@chr2:181117963:181118333:+,LIME1,
chr8:126022488:126022598:+@chr8:126023892:126024007:+@chr8:126025133:126025333:+,AFG3L1,
chr14:51455667:51455879:-@chr14:51453589:51453752:-@chr14:51453129:51453242:-,TEP1,
chr17:29497858:29498102:+@chr17:29500656:29500887:+@chr17:29501856:29502226:+,FGD2,
chr2:94198908:94199094:-@chr2:94182784:94182954:-@chr2:94172950:94173209:-,TTC17,
chr9:21314438:21314697:-@chr9:21313375:21313558:-@chr9:21311823:21312835:-,TMED1,
chr9:21314438:21314697:-@chr9:21313375:21313795:-@chr9:21311823:21312835:-,TMED1,
chr10:79545360:79545471:-@chr10:79542698:79544127:-@chr10:79533365:79535263:-,SBNO2,
chr17:5975579:5975881:+@chr17:5985972:5986242:+@chr17:5990136:5990361:+,SYNJ2,
chr2:29997782:29997941:+@chr2:30002172:30002382:+@chr2:30002882:30003045:+,TBC1D13,LPS Response
chr7:119221306:119221473:+@chr7:119223686:119223745:+@chr7:119225944:119226075:+,USP47,
